Input File,Input Language,Output Language,Translated Code,Result,Passed All Tests
CHECK_WHETHER_TWO_STRINGS_ARE_ANAGRAM_OF_EACH_OTHER.py,java,python,"def f_filled(str1, str2):
    n1 = len(str1)
    n2 = len(str2)
    if n1 != n2:
        return False
    str1 = sorted(str1)
    str2 = sorted(str2)
    for i in range(n1):
        if str1[i] != str2[i]:
            return False
    return True","#Results: 10, 10
",True
LONGEST_PALINDROME_SUBSEQUENCE_SPACE.py,java,python,"def f_filled(s):
    n = len(s)
    a = [0] * n
    for i in range(n - 1, -1, -1):
        back_up = 0
        for j in range(i, n):
            if j == i:
                a[j] = 1
            elif s[i] == s[j]:
                temp = a[j]
                a[j] = back_up + 2
                back_up = temp
            else:
                back_up = a[j]
                a[j] = max(a[j - 1], a[j])
    return a[n - 1]","#Results: 10, 10
",True
MOBILE_NUMERIC_KEYPAD_PROBLEM.py,java,python,"def f_filled(keypad, n):
    if keypad is None or n <= 0:
        return 0
    if n == 1:
        return 10
    odd = [1] * 10
    even = [0] * 10
    useOdd = 0
    totalCount = 0
    for j in range(2, n + 1):
        useOdd = 1 - useOdd
        if useOdd == 1:
            even[0] = odd[0] + odd[8]
            even[1] = odd[1] + odd[2] + odd[4]
            even[2] = odd[2] + odd[1] + odd[3] + odd[5]
            even[3] = odd[3] + odd[2] + odd[6]
            even[4] = odd[4] + odd[1] + odd[5] + odd[7]
            even[5] = odd[5] + odd[2] + odd[4] + odd[8] + odd[6]
            even[6] = odd[6] + odd[3] + odd[5] + odd[9]
            even[7] = odd[7] + odd[4] + odd[8]
            even[8] = odd[8] + odd[0] + odd[5] + odd[7] + odd[9]
            even[9] = odd[9] + odd[6] + odd[8]
        else:
            odd[0] = even[0] + even[8]
            odd[1] = even[1] + even[2] + even[4]
            odd[2] = even[2] + even[1] + even[3] + even[5]
            odd[3] = even[3] + even[2] + even[6]
            odd[4] = even[4] + even[1] + even[5] + even[7]
            odd[5] = even[5] + even[2] + even[4] + even[8] + even[6]
            odd[6] = even[6] + even[3] + even[5] + even[9]
            odd[7] = even[7] + even[4] + even[8]
            odd[8] = even[8] + even[0] + even[5] + even[7] + even[9]
            odd[9] = even[9] + even[6] + even[8]
    totalCount = 0
    if useOdd == 1:
        for i in range(10):
            totalCount += even[i]
    else:
        for i in range(10):
            totalCount += odd[i]
    return totalCount","#Results: 10, 10
",True
MARKOV_MATRIX.py,java,python,"def f_filled(m):
    for i in range(len(m)):
        sum = 0
        for j in range(len(m[i])):
            sum = sum + m[i][j]
        if sum != 1:
            return False
    return True","#Results: 10, 10
",True
CHOCOLATE_DISTRIBUTION_PROBLEM.py,java,python,"def f_filled(arr, n, m):
    if m == 0 or n == 0:
        return 0
    arr.sort()
    if n < m:
        return -1
    min_diff = float('inf')
    first = 0
    last = 0
    for i in range(n - m + 1):
        diff = arr[i + m - 1] - arr[i]
        if diff < min_diff:
            min_diff = diff
            first = i
            last = i + m - 1
    return arr[last] - arr[first]","#Results: 10, 10
",True
HYPERCUBE_GRAPH.py,java,python,"def f_filled(n):
    if n == 1:
        return 2
    return 2 * f_filled(n - 1)","#Results: 10, 10
",True
COUNT_OPERATIONS_MAKE_STRINGAB_FREE.py,java,python,"def f_filled(s):
    b_count = 0
    res = 0
    for i in range(len(s)):
        if s[len(s) - i - 1] == 'a':
            res = (res + b_count)
            b_count = (b_count * 2)
        else:
            b_count += 1
    return res","#Results: 10, 10
",True
SCHEDULE_JOBS_SERVER_GETS_EQUAL_LOAD.py,java,python,"def f_filled(a, b, n):
    s = 0
    for i in range(n):
        s += (a[i] + b[i])
    if n == 1:
        return a[0] + b[0]
    if s % n != 0:
        return -1
    x = s // n
    for i in range(n):
        if a[i] > x:
            return -1
        if i > 0:
            a[i] += b[i - 1]
            b[i - 1] = 0
        if a[i] == x:
            continue
        y = a[i] + b[i]
        if i + 1 < n:
            y += b[i + 1]
        if y == x:
            a[i] = y
            b[i] = 0
            continue
        if a[i] + b[i] == x:
            a[i] += b[i]
            b[i] = 0
            continue
        if i + 1 < n and a[i] + b[i + 1] == x:
            a[i] += b[i + 1]
            b[i + 1] = 0
            continue
        return -1
    for i in range(n):
        if b[i] != 0:
            return -1
    return x","#Results: 10, 10
",True
FIND_SUM_NODES_GIVEN_PERFECT_BINARY_TREE_1.py,java,python,"def f_filled(l):
    leafNodeCount = 2 ** (l - 1)
    sumLastLevel = 0
    sumLastLevel = (leafNodeCount * (leafNodeCount + 1)) / 2
    sum = sumLastLevel * l
    return sum","#Results: 10, 10
",True
COUNT_NUMBER_OF_SOLUTIONS_OF_X2_1_MOD_P_IN_GIVEN_RANGE.py,java,python,"def f_filled(n, p):
    ans = 0
    for x in range(1, p):
        if (x * x) % p == 1:
            last = x + p * (n // p)
            if last > n:
                last -= p
            ans += ((last - x) // p + 1)
    return ans","#Results: 4, 10
",False
